date,AverageTemperature
1900,13.439
1901,14.312
1902,13.099
1903,14.433
1904,13.253
1905,11.99
1906,14.994
1907,17.76
1908,14.414
1909,17.205
1910,13.957
1911,16.605
1912,14.338
1913,18.69
1914,14.579
1915,14.455
1916,18.541
1917,17.776
1918,12.017
1919,14.42
1920,16.003
1921,16.073
1922,14.974
1923,16.451
1924,15.114
1925,17.407
1926,14.228
1927,14.867
1928,13.336
1929,16.922
1930,16.512
1931,13.412
1932,18.6
1933,17.042
1934,16.181
1935,15.562
1936,15.282
1937,20.781
1938,14.976
1939,16.128
1940,10.077
1941,14.549
1942,13.972
1943,16.246
1944,14.318
1945,14.582
1946,16.198
1947,19.152
1948,13.731
1949,18.361
1950,20.069
1951,15.039
1952,17.052
1953,15.619
1954,16.222
1955,14.271
1956,12.546
1957,17.449
1958,11.645
1959,14.148
1960,14.872
1961,13.081
1962,14.92
1963,14.126
1964,14.181
1965,15.176
1966,13.64
1967,16.243
1968,14.654
1969,14.679
1970,12.105
1971,15.112
1972,18.707
1973,15.694
1974,20.788
1975,17.724
1976,13.218
1977,10.609
1978,12.035
1979,13.342
1980,15.404
1981,10.52
1982,14.927
1983,13.762
1984,13.852
1985,12.286
1986,14.364
1987,14.227
1988,13.562
1989,18.344
1990,17.632
1991,17.249
1992,14.305
1993,18.029
1994,14.611
1995,14.45
1996,14.394
1997,15.815
1998,16.496
1999,16.753
2000,15.41
2001,12.435
2002,15.903
2003,12.145
2004,14.581
2005,16.2
2006,16.613
2007,16.958
2008,15.325
2009,14.817
2010,12.205
2011,13.571
2012,16.006
2013,18.435
