date,AverageTemperature
1900,1.473
1901,-0.644
1902,-1.263
1903,0.165
1904,-0.159
1905,0.184
1906,-0.139
1907,-3.164
1908,0.577
1909,-1.506
1910,-3.041
1911,-1.26
1912,-0.236
1913,-2.798
1914,1.707
1915,-1.537
1916,-5.606
1917,-3.418
1918,1.875
1919,-0.23
1920,-0.137
1921,-0.253
1922,-4.827
1923,0.449
1924,-2.219
1925,1.293
1926,-0.26
1927,-0.417
1928,-0.104
1929,-3.847
1930,-6.697
1931,0.717
1932,-2.035
1933,-1.516
1934,3.436
1935,-0.733
1936,0.296
1937,-8.02
1938,0.786
1939,0.818
1940,0.522
1941,1.07
1942,-2.586
1943,-2.318
1944,-1.581
1945,0.709
1946,-0.344
1947,-2.078
1948,0.411
1949,-7.758
1950,-5.021
1951,-0.839
1952,-2.555
1953,4.02
1954,0.376
1955,-1.919
1956,0.217
1957,-5.346
1958,1.148
1959,1.667
1960,-2.364
1961,1.627
1962,-2.428
1963,-2.484
1964,-0.174
1965,0.453
1966,0.232
1967,1.861
1968,-0.195
1969,-2.258
1970,1.021
1971,0.63
1972,-1.367
1973,-1.257
1974,-1.843
1975,-0.105
1976,0.857
1977,-2.522
1978,1.707
1979,-5.316
1980,-1.143
1981,2.184
1982,-1.538
1983,2.137
1984,-0.685
1985,-2.557
1986,1.988
1987,-1.166
1988,-1.03
1989,-0.709
1990,1.286
1991,-0.326
1992,1.64
1993,-3.199
1994,2.421
1995,1.653
1996,0.599
1997,0.325
1998,1.866
1999,1.397
2000,0.236
2001,0.123
2002,-0.01
2003,3.888
2004,0.047
2005,0.908
2006,1.805
2007,-1.116
2008,-1.939
2009,0.96
2010,2.751
2011,1.03
2012,1.178
2013,-1.275
